EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
192354.563,189573.563,205131.891,198247.375,192769.406,184234.438,192375.938,182300.203,-0.004,1.005,0.171,-2.075,-0.763,-0.092,80.000,159937.000,1.000
192361.453,189596.172,205158.891,198263.297,192780.406,184260.094,192400.156,182299.313,-0.001,1.002,0.169,-2.075,-0.793,-0.092,80.000,159938.000,1.000
192387.109,189616.922,205182.594,198290.031,192799.891,184273.250,192415.000,182323.906,-0.002,1.000,0.168,-2.014,-0.763,-0.031,80.000,159939.000,1.000
192394.797,189608.344,205169.000,198288.766,192805.078,184264.750,192417.766,182356.531,0.000,0.999,0.169,-2.106,-0.610,0.061,80.000,159940.000,1.000
192363.234,189567.750,205126.969,198255.781,192778.078,184223.891,192382.281,182342.234,0.000,0.997,0.169,-2.014,-0.549,0.244,80.000,159941.000,1.000
192339.813,189555.234,205119.203,198239.594,192755.641,184217.813,192358.141,182286.625,0.001,0.997,0.168,-2.045,-0.580,0.275,80.000,159942.000,1.000
192357.063,189583.391,205152.719,198269.375,192770.297,184250.266,192380.125,182283.313,0.000,1.000,0.167,-1.953,-0.580,0.244,80.000,159943.000,1.000
192394.266,189619.609,205187.766,198305.938,192802.313,184291.578,192414.109,182319.703,0.000,0.999,0.166,-1.892,-0.458,0.244,80.000,159944.000,1.000
192398.375,189606.547,205168.547,198289.125,192794.891,184262.156,192395.688,182337.844,-0.002,0.999,0.167,-1.831,-0.397,0.244,80.000,159945.000,1.000
192363.328,189557.203,205120.094,198241.297,192758.328,184206.453,192358.141,182311.031,-0.004,1.000,0.167,-1.862,-0.183,0.244,80.000,159946.000,1.000
192349.203,189554.250,205121.344,198238.172,192750.359,184207.797,192360.281,182281.875,-0.005,1.001,0.168,-1.892,-0.183,0.214,80.000,159947.000,1.000
192365.656,189587.859,205154.953,198265.891,192766.813,184237.750,192368.063,182284.828,-0.003,0.999,0.168,-1.801,-0.214,0.153,80.000,159948.000,1.000
192394.344,189616.031,205183.563,198292.891,192793.375,184268.500,192395.781,182312.734,-0.002,1.000,0.169,-1.770,-0.183,0.153,80.000,159949.000,1.000
192401.047,189602.797,205167.031,198279.109,192796.141,184257.156,192395.688,182335.344,0.000,1.002,0.166,-1.831,-0.092,0.031,80.000,159950.000,1.000
192375.297,189563.453,205125.094,198242.547,192766.641,184202.344,192350.531,182312.641,0.000,1.001,0.169,-1.740,-0.122,0.031,80.000,159951.000,1.000
