EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
190541.563,189834.172,210361.391,202883.578,193267.594,184405.484,192404.813,183321.953,0.047,0.999,0.076,-2.106,-0.366,-0.427,80.000,17187.000,1.000
190518.406,189838.297,210368.547,202884.109,193264.453,184428.547,192417.500,183306.484,0.046,1.000,0.076,-2.045,-0.305,-0.519,80.000,17188.000,1.000
190527.266,189872.172,210406.188,202911.469,193285.828,184479.422,192454.875,183318.203,0.046,1.000,0.076,-2.045,-0.305,-0.488,80.000,17189.000,1.000
190555.516,189895.156,210429.250,202931.859,193306.484,184506.328,192476.250,183340.109,0.046,1.001,0.075,-2.014,-0.214,-0.610,80.000,17190.000,1.000
190571.156,189878.438,210408.063,202925.594,193306.484,184484.781,192465.422,183352.078,0.046,0.998,0.076,-2.075,-0.244,-0.610,80.000,17191.000,1.000
190547.828,189848.031,210372.484,202891.625,193276.078,184440.797,192420.453,183306.125,0.045,0.999,0.077,-1.953,-0.214,-0.671,80.000,17192.000,1.000
190530.750,189850.547,210380.625,202886.891,193265.344,184454.563,192421.797,183275.016,0.044,1.000,0.079,-1.953,-0.397,-0.610,80.000,17193.000,1.000
190537.281,189877.547,210409.859,202905.484,193275.188,184490.500,192443.516,183275.016,0.044,1.000,0.078,-1.831,-0.366,-0.641,80.000,17194.000,1.000
190564.188,189905.266,210431.313,202923.188,193294.766,184513.922,192465.875,183301.563,0.044,0.998,0.080,-1.831,-0.336,-0.641,80.000,17195.000,1.000
190573.938,189882.813,210404.578,202909.406,193287.531,184480.047,192437.891,183300.859,0.045,0.997,0.078,-1.923,-0.397,-0.610,80.000,17196.000,1.000
190547.203,189846.969,210369.984,202874.359,193264.375,184445.984,192406.328,183269.203,0.043,1.000,0.078,-1.953,-0.427,-0.549,80.000,17197.000,1.000
190525.750,189851.438,210377.938,202868.906,193255.063,184458.578,192407.766,183246.141,0.042,0.999,0.075,-1.923,-0.427,-0.641,80.000,17198.000,1.000
190533.344,189876.563,210407.078,202888.313,193264.813,184485.859,192430.016,183256.234,0.042,1.000,0.077,-1.862,-0.580,-0.641,80.000,17199.000,1.000
190533.344,189876.563,210407.078,202888.313,193264.813,184485.859,192430.016,183256.234,0.042,1.000,0.077,-1.862,-0.580,-0.641,80.000,17200.000,0.000
190533.344,189876.563,210407.078,202888.313,193264.813,184485.859,192430.016,183256.234,0.042,1.000,0.077,-1.862,-0.580,-0.641,80.000,17201.000,0.000
190542.016,189847.500,210368.016,202876.156,193259.719,184426.313,192389.875,183276.797,0.041,1.001,0.081,-1.740,-0.671,-0.580,80.000,17202.000,1.000
190523.500,189852.500,210378.469,202878.484,193256.672,184437.313,192397.203,183260.984,0.043,1.000,0.083,-1.770,-0.641,-0.427,80.000,17203.000,1.000
190528.609,189877.547,210408.250,202901.453,193273.047,184467.250,192424.750,183281.094,0.043,1.000,0.080,-1.709,-0.732,-0.458,80.000,17204.000,1.000
