EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
191661.563,190353.641,208523.453,201437.063,193259.813,184624.172,193353.781,183250.609,0.032,1.005,0.182,-1.526,-0.488,-0.580,80.000,54733.000,1.000
191642.438,190356.313,208531.859,201439.203,193256.234,184644.813,193371.922,183231.656,0.035,1.004,0.183,-1.526,-0.458,-0.458,80.000,54734.000,1.000
191649.047,190375.094,208557.797,201461.203,193269.469,184680.313,193404.297,183244.266,0.034,1.005,0.186,-1.556,-0.488,-0.458,80.000,54735.000,1.000
191669.438,190384.656,208568.609,201472.734,193280.641,184697.391,193408.766,183263.031,0.035,1.006,0.185,-1.648,-0.458,-0.488,80.000,54736.000,1.000
191682.313,190370.531,208551.438,201468.078,193281.797,184674.766,193389.000,183283.328,0.035,1.004,0.186,-1.801,-0.488,-0.488,80.000,54737.000,1.000
191650.391,190329.500,208511.203,201432.953,193248.453,184618.359,193345.813,183249.625,0.038,1.005,0.187,-1.862,-0.549,-0.427,80.000,54738.000,1.000
191647.078,190347.375,208533.109,201446.813,193255.781,184645.266,193364.406,183236.922,0.036,1.004,0.185,-1.984,-0.610,-0.427,80.000,54739.000,1.000
191660.234,190385.547,208569.328,201473.188,193279.828,184697.844,193406.078,183257.219,0.035,1.004,0.185,-2.014,-0.610,-0.397,80.000,54740.000,1.000
191682.484,190409.063,208586.047,201487.313,193296.641,184709.188,193412.516,183281.000,0.038,1.004,0.185,-2.106,-0.641,-0.305,80.000,54741.000,1.000
191683.109,190387.344,208556.531,201466.297,193286.188,184678.969,193387.219,183281.719,0.035,1.004,0.185,-2.289,-0.580,-0.244,80.000,54742.000,1.000
191661.125,190346.656,208527.922,201444.750,193265.625,184633.281,193358.063,183262.234,0.036,1.005,0.186,-2.228,-0.549,-0.275,80.000,54743.000,1.000
191639.219,190346.125,208532.391,201434.563,193255.250,184629.172,193359.234,183232.375,0.037,1.004,0.183,-2.197,-0.549,-0.305,80.000,54744.000,1.000
191642.875,190366.328,208554.656,201448.766,193265.172,184659.922,193386.500,183238.531,0.036,1.003,0.184,-2.350,-0.488,-0.305,80.000,54745.000,1.000
191667.641,190390.922,208572.625,201466.469,193285.734,184689.875,193412.156,183267.766,0.040,1.002,0.185,-2.380,-0.397,-0.397,80.000,54746.000,1.000
191679.094,190378.313,208552.328,201460.219,193283.328,184666.906,193386.313,183281.906,0.039,1.002,0.185,-2.380,-0.366,-0.397,80.000,54747.000,1.000
191649.500,190339.422,208514.344,201433.938,193256.234,184617.188,193355.469,183262.047,0.037,1.003,0.184,-2.411,-0.305,-0.153,80.000,54748.000,1.000
191629.828,190334.766,208518.813,201430.531,193244.156,184618.172,193348.500,183226.016,0.038,1.002,0.186,-2.380,-0.275,-0.214,80.000,54749.000,1.000
191650.297,190373.219,208561.188,201467.719,193273.938,184673.422,193390.703,183245.688,0.038,1.002,0.188,-2.533,-0.275,-0.275,80.000,54750.000,1.000
191677.391,190399.328,208584.969,201490.703,193302.016,184707.219,193421.719,183284.219,0.037,1.002,0.187,-2.502,-0.244,-0.305,80.000,54751.000,1.000
